Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
7000 Square Meters Land,Mobolaji Bank Anthony Way Ikeja Lagos,₦,"5,000,000,000",0,0,0, beds, baths, Toilets
Newly Built 3 Bedroom Flat In A Perfect Neighbourhood,Maryland Ikeja Lagos,₦,"50,000,000",1,1,0,3 beds,3 baths,3 Toilets
Newly Completed 5bedroom Duplex,Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,0,0,0 beds,0 baths,0 Toilets
Spacious 4 Bedroom Fully Detached Duplex,Salvation Road Opebi Ikeja Lagos,₦,"140,000,000",1,1,1,4 beds,4 baths,5 Toilets
Newly Built/furnished 4 Bedroom Fully Detached Duplex,Omole Phase 2 Unity Road Ikeja Lagos,₦,"80,000,000",0,1,1,0 beds,0 baths,0 Toilets
Block Of Terrace 1# 4bedroom + Bq,Ikeja Gra Ikeja Lagos,₦,"130,000,000",1,0,0,4 beds,6 baths,6 Toilets
Block Of Flats Of 3 Bedrooms Each + Bq,Ikeja Gra Ikeja Lagos,₦,"80,000,000",0,0,1,3 beds,4 baths,4 Toilets
"Industrial Property On 4.6 Acres Nested Within The Popular Ikeja Industrial Area, Ikeja, Lagos","Within Ikeja Industrial Area, Ikeja Ikeja Lagos",₦,"4,500,000,000",0,0,0, beds, baths, Toilets
2 Bedroom Flat(all Rooms Ensuite),Agidingbi Ikeja Lagos,₦,"50,000,000",0,0,0,3 beds,3 baths,3 Toilets
Exquisitely Built 3 Bedrooms Terrace Duplex,Agidingbi Ikeja Lagos,₦,"40,000,000",0,0,0,3 beds,3 baths,4 Toilets
A Plot Of Land,Off Adebola Solanke Area Allen Avenue Ikeja Lagos,₦,"110,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Bedrooms Terrace And 5bedrooms Terrace + 1 Room Bq,Adebola Solanke Allen Avenue Ikeja Lagos,₦,"120,000,000",0,0,0,4 beds,4 baths,5 Toilets
Newly Built Luxury 4 Bedroom Fully Furnished And Fully Serviced Terrace Duplex,Grandville Estate Ikeja Gra Lagos State. Ikeja Gra Ikeja Lagos,₦,"160,000,000",1,1,0,4 beds,5 baths,5 Toilets
Brand New 4 Bedroom Terrace Duplex With 1 Bq,Ikeja Gra Ikeja Lagos,₦,"120,000,000",0,0,0,0 beds,0 baths,0 Toilets
Bare Land In A Serene Environment,Remi Fani Kayode Avenue Ikeja Gra Ikeja Lagos,₦,"350,000,000",0,0,0, beds, baths, Toilets
Newly Built 4bedroom Duplex In A Serene Neighborhood,Ikeja Adeniyi Jones Ikeja Lagos,₦,"70,000,000",0,0,0,4 beds,5 baths,5 Toilets
Lovely 7 Bedroom Duplex,Allen Avenue Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets
"Urgent Sale, 2400sqm Open Land Along Lagos To Ikorodu Road Between Anthony And Maryland",Between Anthony And Maryland Mobolaji Bank Anthony Way Ikeja Lagos,₦,"850,000,000",0,0,0, beds, baths, Toilets
Newly Built 4 Bedroom Terrace Duplex,Ikeja Gra Ikeja Gra Ikeja Lagos,₦,"170,000,000",0,1,0,4 beds,4 baths,5 Toilets
4 Bedroom Town House,Allen Avenue Ikeja Lagos,₦,"135,000,000",1,1,1,4 beds,5 baths,5 Toilets
Newly Built Four (4) Bedroom Terrace Duplex With A Room Bq,Femi Fani Kayode Street Ikeja Gra Ikeja Lagos,₦,"165,000,000",0,1,0,4 beds,4 baths,5 Toilets
5 Bedroom Detached Duplex With A Bq,Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,0,0,5 beds,0 baths,0 Toilets
5numbers Of 4bedroom Terrace Duplex,Adeniyi Jones Ikeja Lagos,₦,"125,000,000",0,0,0,0 beds,0 baths,0 Toilets
Brand New 5 Bedrooms Detached House,Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,0,0,0 beds,0 baths,0 Toilets
College,Agidingbi Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets
Mega Filling Station,Ikeja Lagos,₦,"950,000,000",0,0,0,0 beds,0 baths,0 Toilets
Standard Building On A Full Plot Of Land For Sale At Ikeja With C Of O And Maximum Security Which Can Be Used For Both Commercial And Residential Purpose,Off Airport Road Ikeja Lagos,₦,"85,000,000",0,0,0, beds, baths, Toilets
5 Bedroom Semi Detached Duplex With Pent House And Bq,Adeniyi Jones Ikeja Lagos,₦,"100,000,000",0,0,0,5 beds,0 baths,0 Toilets
Newly & Well Built To Taste A 4 Bedroom Spacious Detached Duplex With A Room Bq,Adeniyi Jones Ikeja Lagos,₦,"180,000,000",0,0,0,4 beds,4 baths,5 Toilets
Land Measuring 1034sqm With A 7bedroom Detached Duple,Opebi Ikeja Lagos,₦,"260,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land Measuring 1500sqm,Adeniyi Jones Ikeja Lagos,₦,"300,000,000",0,0,0,0 beds,0 baths,0 Toilets
Full Plot Of Land,Off Airport Road Ikeja Lagos,₦,"85,000,000",0,0,0,0 beds,0 baths,0 Toilets
Brand New 4 Bedrooms Semi Detached House,Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Adeniyi Jones Ikeja Lagos,₦,"270,000,000",0,0,0,0 beds,0 baths,0 Toilets
Spacious 4 Units Of 3 Bedroom Flat,Mangoro Ikeja Mangoro Ikeja Lagos,₦,"50,000,000",0,1,1,3 beds,3 baths,3 Toilets
3bed Rooms Flat,Off Allen Ikeja. Lagos Mainland Allen Avenue Ikeja Lagos,₦,"120,000,000",0,0,0,0 beds,0 baths,0 Toilets
2 Wings 5bedroom Semi Detached Duplex,Adeniyi Jones Ikeja Lagos,₦,"130,000,000",0,0,0,0 beds,0 baths,0 Toilets
32 Rooms Hotel,Ikeja Gra Ikeja Lagos,₦,"3,500,000,000",0,0,0,0 beds,0 baths,0 Toilets
3bedroom Flat,Allen Avenue Ikeja Lagos,₦,"50,000,000",0,0,0,3 beds,4 baths,4 Toilets
13 Luxury Hotel Rooms,Awolowo Way Ikeja Lagos,₦,"220,000,000",0,0,0,10 beds,10 baths,10 Toilets
